timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:39:26.425, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 89 %, 23 %, 52, 90.80 W, 250.00 W, Enabled
2025/04/13 21:39:31.429, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 20 %, 52, 92.48 W, 250.00 W, Enabled
2025/04/13 21:39:36.434, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 52, 128.97 W, 250.00 W, Enabled
2025/04/13 21:39:41.440, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 90 %, 25 %, 52, 119.13 W, 250.00 W, Enabled
2025/04/13 21:39:46.450, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 89 %, 20 %, 52, 113.78 W, 250.00 W, Enabled
2025/04/13 21:39:51.457, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 92 %, 20 %, 51, 62.17 W, 250.00 W, Enabled
2025/04/13 21:39:56.461, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 21 %, 52, 82.10 W, 250.00 W, Enabled
2025/04/13 21:40:01.466, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 82 %, 24 %, 51, 127.08 W, 250.00 W, Enabled
2025/04/13 21:40:06.471, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 90 %, 25 %, 52, 117.93 W, 250.00 W, Enabled
2025/04/13 21:40:11.475, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 92 %, 25 %, 52, 125.63 W, 250.00 W, Enabled
2025/04/13 21:40:16.479, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 22 %, 52, 126.12 W, 250.00 W, Enabled
2025/04/13 21:40:21.483, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 22 %, 52, 121.44 W, 250.00 W, Enabled
2025/04/13 21:40:26.492, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 52, 75.77 W, 250.00 W, Enabled
2025/04/13 21:40:31.496, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 20 %, 52, 120.04 W, 250.00 W, Enabled
2025/04/13 21:40:36.500, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 52, 102.86 W, 250.00 W, Enabled
2025/04/13 21:40:41.505, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 52, 123.40 W, 250.00 W, Enabled
2025/04/13 21:40:46.509, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 52, 79.39 W, 250.00 W, Enabled
2025/04/13 21:40:51.513, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 52, 123.40 W, 250.00 W, Enabled
2025/04/13 21:40:56.517, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 92 %, 26 %, 52, 94.42 W, 250.00 W, Enabled
2025/04/13 21:41:01.521, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 20 %, 52, 90.83 W, 250.00 W, Enabled
2025/04/13 21:41:06.525, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 94 %, 20 %, 52, 113.50 W, 250.00 W, Enabled
2025/04/13 21:41:11.529, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 25 %, 52, 128.55 W, 250.00 W, Enabled
2025/04/13 21:41:16.536, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 52, 117.14 W, 250.00 W, Enabled
2025/04/13 21:41:21.540, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 52, 119.80 W, 250.00 W, Enabled
2025/04/13 21:41:26.544, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 21 %, 53, 104.58 W, 250.00 W, Enabled
